iter	RMSE
0	14.61866854
1	14.23309878
2	13.84511534
3	13.49725363
4	13.16949256
5	12.84319187
6	12.53770717
7	12.25765489
8	12.00548755
9	11.79565532
10	11.57061477
11	11.33952773
12	11.14160678
13	10.95075606
14	10.77031948
15	10.62270139
16	10.49336922
17	10.34583212
18	10.21949114
19	10.11656315
20	9.996621228
21	9.899991606
22	9.793553608
23	9.698816627
24	9.624585213
25	9.540417928
26	9.463019926
27	9.389828895
28	9.32263297
29	9.25630992
30	9.20066455
31	9.145912112
32	9.090266438
33	9.035772937
34	8.988231667
35	8.940751642
36	8.900341144
37	8.861702288
38	8.828069863
39	8.793465434
40	8.763884177
41	8.737567192
42	8.706325446
43	8.678764923
44	8.652119751
45	8.626508668
46	8.604917304
47	8.581030343
48	8.563615526
49	8.543781445
50	8.527736978
51	8.508584036
52	8.494806014
53	8.478631651
54	8.466624972
55	8.45268567
56	8.440063977
57	8.425162871
58	8.410367961
59	8.400198884
60	8.389420169
61	8.381182052
62	8.36815145
63	8.358300377
64	8.349240921
65	8.335366783
66	8.324348255
67	8.312266684
68	8.306120884
69	8.299195147
70	8.291366834
71	8.283148518
72	8.268816057
73	8.260185124
74	8.247133128
75	8.234527945
76	8.223792986
77	8.216220857
78	8.210042785
79	8.193080538
80	8.186598264
81	8.183868769
82	8.174615564
83	8.15618166
84	8.150870611
85	8.1452861
86	8.139021921
87	8.13434022
88	8.127415342
89	8.117898723
90	8.110897253
91	8.102718372
92	8.092707079
93	8.088255653
94	8.079494806
95	8.072436975
96	8.067473575
97	8.062298679
98	8.058835389
99	8.055055191
