iter	Passed	Remaining
0	2	267
1	5	271
2	8	266
3	10	260
4	13	254
5	15	240
6	17	233
7	22	262
8	24	251
9	26	240
10	28	234
11	30	225
12	34	227
13	36	221
14	38	215
15	40	213
16	42	208
17	44	202
18	46	197
19	48	193
20	49	187
21	51	183
22	53	178
23	55	174
24	57	171
25	58	167
26	61	165
27	63	163
28	65	160
29	67	156
30	69	153
31	70	150
32	73	148
33	75	145
34	76	142
35	78	139
36	80	136
37	82	134
38	84	131
39	86	129
40	88	127
41	90	124
42	92	122
43	93	119
44	95	116
45	97	114
46	99	112
47	101	110
48	102	107
49	104	104
50	106	102
51	108	99
52	110	97
53	111	95
54	113	93
55	116	91
56	118	89
57	119	86
58	120	83
59	122	81
60	124	79
61	125	77
62	128	75
63	130	73
64	132	71
65	134	69
66	135	66
67	137	64
68	139	62
69	140	60
70	142	58
71	143	55
72	145	53
73	146	51
74	148	49
75	149	47
76	151	45
77	152	43
78	154	40
79	155	38
80	157	36
81	158	34
82	159	32
83	161	30
84	162	28
85	163	26
86	165	24
87	166	22
88	168	20
89	170	18
90	172	17
91	173	15
92	175	13
93	176	11
94	177	9
95	179	7
96	180	5
97	182	3
98	183	1
99	185	0
