iter	RMSE
0	14.526401
1	14.07351756
2	13.66263363
3	13.20725623
4	12.77750317
5	12.35414894
6	11.96757974
7	11.58871654
8	11.19175582
9	10.83228288
10	10.50456786
11	10.18336387
12	9.862551445
13	9.547055842
14	9.225158755
15	8.973842933
16	8.707644145
17	8.440538756
18	8.164078202
19	7.912260879
20	7.664953614
21	7.423508173
22	7.200827109
23	6.986488516
24	6.800896413
25	6.582965986
26	6.383400277
27	6.239442107
28	6.052836678
29	5.867573403
30	5.692107842
31	5.538927664
32	5.388571137
33	5.221312456
34	5.077608897
35	4.922430557
36	4.796846992
37	4.650242385
38	4.526641443
39	4.39260897
40	4.283902762
41	4.165515667
42	4.038570816
43	3.923952362
44	3.826586803
45	3.721433473
46	3.618815141
47	3.526469006
48	3.426688031
49	3.335271114
50	3.245861574
51	3.163491312
52	3.080815089
53	2.994049971
54	2.91415192
55	2.840462816
56	2.760198548
57	2.688546825
58	2.617824419
59	2.552510645
60	2.48336049
61	2.416690591
62	2.355347947
63	2.311070306
64	2.253833878
65	2.207929885
66	2.159166753
67	2.114393198
68	2.060428999
69	2.016924801
70	1.970899654
71	1.928516447
72	1.882039425
73	1.844158435
74	1.804632362
75	1.763615611
76	1.72125289
77	1.688240742
78	1.652346667
79	1.617581219
80	1.589214571
81	1.561608105
82	1.538737349
83	1.507980867
84	1.48174428
85	1.461685807
86	1.4338511
87	1.40468584
88	1.383523648
89	1.359255654
90	1.332896018
91	1.308563157
92	1.288733659
93	1.270768321
94	1.249033954
95	1.231378679
96	1.211819123
97	1.191764495
98	1.171873768
99	1.150919477
100	1.130661733
101	1.118128888
102	1.101347957
103	1.08694285
104	1.071700727
105	1.05635344
106	1.05142445
107	1.039470669
108	1.024268629
109	1.020234982
110	1.01700834
111	1.002588598
112	0.9902123768
113	0.9750420601
114	0.964482767
115	0.9613803258
116	0.9567157325
117	0.9475521333
118	0.943860582
119	0.9315497885
120	0.9287743637
121	0.9226924075
122	0.9112332846
123	0.9067183959
124	0.901530351
125	0.8986973425
126	0.8946537314
127	0.8906989189
128	0.8815942419
129	0.8715018695
130	0.8673662437
131	0.8652323878
132	0.8550186673
133	0.8458518843
134	0.8376014541
135	0.8354522904
136	0.8259901998
137	0.8183491384
138	0.8100478218
139	0.8007980453
140	0.7897910931
141	0.7828470256
142	0.774445515
143	0.7685179373
144	0.761552237
145	0.7534707552
146	0.7503387973
147	0.7487523988
148	0.7467667224
149	0.744797582
150	0.7344922577
151	0.7315952467
152	0.7288560883
153	0.7252084549
154	0.7184421476
155	0.7091827873
156	0.7076069795
157	0.7025327791
158	0.7009778124
159	0.6994812737
160	0.6945980252
161	0.6860117765
162	0.6847145174
163	0.677253136
164	0.671896705
165	0.6656649655
166	0.6642340394
167	0.6628040056
168	0.6614732436
169	0.6553455034
170	0.6479791297
171	0.640516397
172	0.6390169771
173	0.6364758258
174	0.6302454787
175	0.6229248636
176	0.6154006892
177	0.6116683372
178	0.6098858899
179	0.6087123318
180	0.6028288705
181	0.6006839786
182	0.5989347708
183	0.5960627425
184	0.5899113024
185	0.5880962688
186	0.5867054365
187	0.585784443
188	0.5794712532
189	0.577135649
190	0.5729637694
191	0.571896404
192	0.5709440845
193	0.5700123972
194	0.5652807855
195	0.5636496922
196	0.5620315173
197	0.56105924
198	0.5599016905
199	0.5590404633
200	0.553272178
201	0.5478452617
202	0.5470367799
203	0.5449101941
204	0.5440691443
205	0.5432307118
206	0.5424781435
207	0.5377814319
208	0.5357572877
209	0.5348116124
210	0.5335748705
211	0.5287625332
212	0.5278777582
213	0.5271513941
214	0.5229231912
215	0.5222566607
216	0.5213665631
217	0.5207364013
218	0.5198270088
219	0.5162596328
220	0.5154712583
221	0.5117329873
222	0.5079502028
223	0.5070544117
224	0.5050894316
225	0.5044885421
226	0.4997807242
227	0.4991472306
228	0.4984453605
229	0.4930865899
230	0.4899813412
231	0.4843816127
232	0.4805960604
233	0.4770591526
234	0.4763897437
235	0.4757916526
236	0.4709340622
237	0.4704615078
238	0.4699977849
239	0.4693858114
240	0.4687304972
241	0.4644589228
242	0.4599382404
243	0.45588984
244	0.4553117989
245	0.4527313327
246	0.4494016154
247	0.4486140152
248	0.4480561367
249	0.4437901828
250	0.4430374832
251	0.442523896
252	0.4406824819
253	0.4370765365
254	0.4341131348
255	0.4296927975
256	0.4262135644
257	0.4257041415
258	0.4249264148
259	0.4244361492
260	0.4205121056
261	0.4162440954
262	0.4155027738
263	0.4129498279
264	0.4102735961
265	0.4077886993
266	0.4073391726
267	0.4052112663
268	0.4026692754
269	0.3997933756
270	0.396055807
271	0.3937840741
272	0.3915816103
273	0.3896826314
274	0.3878751517
275	0.3875619424
276	0.387216499
277	0.3869180441
278	0.3865449789
279	0.383535779
280	0.3814978531
281	0.3798481223
282	0.3795424937
283	0.379201484
284	0.3773087101
285	0.3770804978
286	0.37682361
287	0.3743139238
288	0.3725421318
289	0.3695146173
290	0.3692704919
291	0.3662761436
292	0.3660387961
293	0.3657798236
294	0.3655527228
295	0.3653305795
296	0.3625435792
297	0.3601599789
298	0.3588129684
299	0.3563676284
300	0.3545233064
301	0.3525886178
302	0.3506332014
303	0.3490567412
304	0.3476875067
305	0.3453118354
306	0.3433444173
307	0.3417647395
308	0.3395899627
309	0.3376899202
310	0.3359092781
311	0.3345414724
312	0.3332229398
313	0.333039956
314	0.3311573145
315	0.3309803498
316	0.3296102081
317	0.3274467069
318	0.3259864382
319	0.3258191108
320	0.3241610349
321	0.3229500238
322	0.3210848152
323	0.3209253823
324	0.3194340631
325	0.317863635
326	0.3166669853
327	0.3148676339
328	0.314717914
329	0.3132626057
330	0.3131180395
331	0.3117131492
332	0.3097179498
333	0.308052131
334	0.3070953185
335	0.306354704
336	0.3046651195
337	0.3033297169
338	0.302281425
339	0.3013337489
340	0.3012062603
341	0.3001916489
342	0.2985326724
343	0.2972955201
344	0.2971743092
345	0.2962340758
346	0.2951218137
347	0.2950063893
348	0.2938286577
349	0.2921552376
350	0.2920442502
351	0.2904891924
352	0.2889409479
353	0.2880128641
354	0.2867416348
355	0.2866369269
356	0.2855604117
357	0.2848254734
358	0.2838145105
359	0.2837153541
360	0.2836186409
361	0.2814694494
362	0.2808361176
363	0.2797051668
364	0.2789803341
365	0.2779388521
366	0.2778477531
367	0.2760824296
368	0.2755876326
369	0.2746834283
370	0.2727231106
371	0.2713863698
372	0.2704825646
373	0.2698855796
374	0.2689404486
375	0.2678360363
376	0.2674666451
377	0.2666908246
378	0.2659053949
379	0.2648572038
380	0.2645446133
381	0.2642093638
382	0.2627574351
383	0.2619685606
384	0.2608305078
385	0.2597063256
386	0.2590096047
387	0.2583919222
388	0.2576855634
389	0.2570624321
390	0.2564216013
391	0.2561710626
392	0.2556046923
393	0.2545977106
394	0.2539114544
395	0.2524017667
396	0.2521203636
397	0.2516366451
398	0.2506290678
399	0.2494281327
400	0.2483663944
401	0.2481972622
402	0.2480324571
403	0.2466650108
404	0.2456331883
405	0.2451069349
406	0.2446583546
407	0.2437956758
408	0.242695972
409	0.2417634294
410	0.2414034728
411	0.2406905916
412	0.2405336256
413	0.2401882741
414	0.2398556725
415	0.2397114583
416	0.2392391897
417	0.2388673519
418	0.2379394303
419	0.2376490481
420	0.2375124826
421	0.2363733299
422	0.2352362415
423	0.2350133786
424	0.2348831187
425	0.2340699192
426	0.2334891382
427	0.2318316514
428	0.2314263642
429	0.2310400968
430	0.2294393958
431	0.2286626598
432	0.2283171667
433	0.2275747337
434	0.2266934832
435	0.2265763583
436	0.2260491995
437	0.2256757673
438	0.2246658355
439	0.2238435424
440	0.2225018064
441	0.2217315635
442	0.2212738825
443	0.2207739866
444	0.2200679443
445	0.2199144758
446	0.2193818416
447	0.2190704898
448	0.2187620947
449	0.2184601211
450	0.2177375107
451	0.2168048994
452	0.2167569323
453	0.2166174212
454	0.215947516
455	0.214870132
456	0.21456095
457	0.214373876
458	0.214127388
459	0.2129351641
460	0.2124462198
461	0.2117646328
462	0.2110891613
463	0.2108765126
464	0.2105745799
465	0.2103047296
466	0.2090788449
467	0.2082851063
468	0.2077158805
469	0.2071685413
470	0.2060311172
471	0.2055831469
472	0.2048599433
473	0.2047431778
474	0.2046061815
475	0.2041200778
476	0.2028524993
477	0.2027674545
478	0.2026848656
479	0.2026208615
480	0.2023546994
481	0.2020661438
482	0.201956848
483	0.2018812719
484	0.201328715
485	0.2005907174
486	0.2004913393
487	0.2000691261
488	0.1994870325
489	0.1992044801
490	0.1990580557
491	0.1984341661
492	0.198075372
493	0.1972760435
494	0.1964406775
495	0.1954420422
496	0.1950315662
497	0.1945543591
498	0.1944844563
499	0.1936140786
500	0.1934173104
501	0.1933206979
502	0.1932264105
503	0.1927093079
504	0.1926022817
505	0.1921205036
506	0.1916687761
507	0.1916057496
508	0.1910436512
509	0.1909548893
510	0.1902328987
511	0.189753402
512	0.1895172697
513	0.1894566922
514	0.1889064297
515	0.1883459126
516	0.1882197294
517	0.1880982259
518	0.1880164918
519	0.1875989436
520	0.1871879552
521	0.1863251718
522	0.1862416561
523	0.1861469687
524	0.1859267186
525	0.1857506171
526	0.1856757921
527	0.1848988479
528	0.1843102383
529	0.1835606809
530	0.1834138697
531	0.1829156149
532	0.1821422099
533	0.1820023124
534	0.1816213394
535	0.1811958073
536	0.1809900748
537	0.1805511811
538	0.1800301797
539	0.1795414376
540	0.1794722148
541	0.1789466951
542	0.1782075022
543	0.1775830878
544	0.1774499322
545	0.1772841501
546	0.1769848304
547	0.1768091964
548	0.1761089569
549	0.1760832077
550	0.1755960568
551	0.1754341218
552	0.1749722531
553	0.1744051144
554	0.1741075617
555	0.1738007818
556	0.173305977
557	0.1726987943
558	0.1726826744
559	0.1722921542
560	0.1719407389
561	0.1715126083
562	0.1713344155
563	0.1709864538
564	0.1706327211
565	0.1702086088
566	0.1701448505
567	0.1700861277
568	0.1697515803
569	0.1694460313
570	0.1687914072
571	0.1683971981
572	0.1681929769
573	0.1681364744
574	0.1680272757
575	0.1678321518
576	0.1674633904
577	0.1673571266
578	0.1667917206
579	0.1666240406
580	0.166321725
581	0.1662692983
582	0.1658579984
583	0.1654611692
584	0.1651682374
585	0.1645237542
586	0.1643795438
587	0.1638707281
588	0.1634715206
589	0.1634201767
590	0.1628439018
591	0.1624873271
592	0.1624073737
593	0.1621565208
594	0.1621078446
595	0.1617605954
596	0.1612534703
597	0.1609607716
598	0.160597265
599	0.1605499869
600	0.1599190043
601	0.1594997938
602	0.1594532869
603	0.1591276893
604	0.1587583643
605	0.1582874246
606	0.1580893458
607	0.1578402165
